Title,STATUS,Coupa Req,PO ID,Cost Total,Coupa Status,Submitted by,GCU Contact,Date Submitted,Business Need,Approval,Licensing Requirements,Licensing Requirements Explain,URL Product,Notes,Product Logo,Primary Approver,Point of Contact,Name of Primary Contact,SME,M365 Replace,Description,Primary IT Contact,Support Department Manager,Who uses this application?,App Status,Purpose,Origin,AppOwnerOrganization,App USE Org,App Owner Department,Name of Software Company,Departments Use the App,Cost Requirements,Cost Requirements Explain,Security Approval,Date of Security Review,URL to Governance System,Business Engagement QA,Business Engagement Notes,Business Engagement Approval,Who Uses,Dept Use-Which Dept,Software Version Initial,Software Version - Today,Support Department,Primary Business Administrator,Date of Launch,Date of Renewal,Department Renewal,Support Details,3rd Party Patching Requirements,3rd Party Vendor Website,Renewal Date,Item Type,Path
Jumpshare.app,Sam Done,,,,,,,1/20/21,"Screen Recording
",Denied,No,,,"Can manipulate outlook contacts, uploads files to Jumpshare's cloud, and is classified as Shadow IT in GCE/GCU/Orbis
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Jython,Sam Done,,,,,,,8/6/19,"Used for Python language. Learning Lounge Computers ONLY. Used for course CST-111.
",Restricted Approval,No,,http://www.jython.org/downloads.html,"669743 - Learning Lounge  
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
K40Whisperer,Sam Done,,,,,,,8/2/21,"Used by the Engineering department for training offered by KEEN.
",Approved,Unknown,,,"32685
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Kahoot.IT,Sam Done,185323,#178485,180,Ordered,,,5/14/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Kahoot.IT.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c93",,,,,,Camillia Bonasera,,,,Existing,Educational Services,Open Use,GCU,GCU,,Kahoot!,,Unknown,,Yes,,,,,,,,,,,,5/14/20,5/14/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Key Systems GFMS V 3.0,Imported,,,,,,,3/23/22,"This system is used to maintain the integrity of university Master Keys. 
",Approved,Unknown,,,"164728
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Keyence VHX-7000_970F_COMMSOFT_1_4_23_17_0,Sam Done,,,,,,,5/6/21,"Data analysis of microscope usage and captures.
",Approved,Yes,,,"Login info will be needed. The email account is lopeslab@gcu.edu and the password must be requested.
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Keylogging software,Sam Done,,,,,,,8/6/19,"Software that racks every button hit on keys and reports them, often used for surveillance.
",Denied,No,,," - No 
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Kurzweil,Sam Done,,,,,,,8/6/19,Curriculum creation,Approved,Yes,,https://www.kurzweiledu.com/trialsignup.php?version=PleaseSelectOne,610708 - Disability Services,"{""type"":""thumbnail"",""fileName"":""Kurzweil.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933",,,,,,,,,,Existing,,Open Use,GCE,GCE,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
KwikTag,Sam Done,182723,#175273,23690,Ordered,Jamie Floyd (GCE),,2/24/20,,Approved,Unknown,,,,,,,,,,Jamie Floyd,,,,Existing,Accounting,Open Use,GCE,GCE,,"ImageTag, Inc",,Unknown,,Yes,,,,,,,,,,,,2/24/20,2/24/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LabChart Support,Sam Done,,,,,,,2/18/20,"For research and development program that will record ECGs so they can learn about the heart rate.
",Approved,Unknown,,,"1074496
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Labsoft,Sam Done,,,,,,,8/6/19,Used to view courseware for ESG-441L.,Approved,No,,,785694 - CSET Install location is a shared email sent to the requester (See approval request email for screenshot).,,,,,,,,,,,Existing,,Open Use,GCE,GCE,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LabView,Sam Done,193993,#185078,5980,Ordered,Nicole Wallace (GCE),,11/9/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Labview.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-",,,,,,Nicole Schuler,,,,Existing,Lab Simulation/Management,Open Use,Orbis,Orbis,,National Instruments,,Unknown,,Yes,,,,,,,,,,,,11/9/20,11/9/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LabView,Sam Done,,,,,,,8/6/19,"Systems engineering software for applications that require test, measurement, and control with rapid access to hardware and data insights.",Approved,Yes,,http://www.ni.com/en-us/shop/labview/download.html,"638160 - CSET There is an evaluation period of 52 days for institutions, in which the software will need to be purchased through procurement.","{""type"":""thumbnail"",""fileName"":""Labview.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LambdaTest LIVE,Sam Done,192679,#185844,180,Ordered,Nathan Harris (GCE),,11/24/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Lambda Test LIVE.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e",,,,,,Nathan Harris,,,,Existing,Testing for Web Development,IT Use,GCE,GCE,,LambdaTest,,Unknown,,Yes,,,,,,,,,,,,11/24/20,11/24/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LAPS,Sam Done,,,,,,,2/8/20,Temporary Password system. Enter computer name and it will generate a temporary admin password for the computer.,Approved,Unknown,,,,,,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LastPass,Sam Done,187766,#181029,1671.9,Ordered,Christopher Sweets (Orbis),,8/4/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""LastPass.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933",,,,,,Chris Sweets,,,,Existing,Password Management,Open Use,Orbis,Orbis,,LogMeIn USA Inc,,Unknown,,Yes,,,,,,,,,,,,8/4/20,8/4/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Launchy,Sam Done,,,,,,,8/6/19,"Program that makes for easier navigation of files.
",Denied,No,,,,,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Learning Management System,Sam Done,187880,#180244,79500,Ordered,Julie Chaney (GCE),,7/7/20,,Approved,Unknown,,,,,,,,,,Julie Chaney,,,,Existing,ELD,Open Use,GCE,GCE;#GCU,,Prometheus Development Inc,,Unknown,,Yes,,,,,,,,,,,,7/7/20,7/7/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Leica,Sam Done,,,,,,,8/6/19,Necessary Microscope software for Medical Physical labs.,Approved,No,,https://www.leica-microsystems.com/products/microscope-software/,750361 - CON,"{""type"":""thumbnail"",""fileName"":""Leica.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-41",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Liberty Player,Sam Done,,,,,,,8/6/19,Records multiple audio channels.,Approved,No,,http://www.libertyrecording.com/LCR_main.htm,415714 - Office of CFO,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Lightwright,Sam Done,,,,,,,4/1/20,"manages theatrical lighting paperwork data

",Denied,Unknown,,,"Request 1101374
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LinkedIn Sales Navigator,Sam Done,194042,#185007,15200,Ordered,KC Shuck (GCE),,11/5/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""LikedIn Sales Navigator.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/List",,,,,,KC Shuck,,,,Existing,Recruitment Scouting Services,Open Use,GCU,GCU,,LinkedIn Corporation,,Unknown,,Yes,,,,,,,,,,,,11/5/20,11/5/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Linux Academy,Sam Done,193944,#185019,1476,Ordered,Chad Troxel (GCE),,11/3/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Linux Academy.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962",,,,,,Chad Troxel,,,,Existing,Training Modules,IT Use,GCE,GCE,,"Linux Academy, Inc",,Unknown,,Yes,,,,,,,,,,,,11/3/20,11/3/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Lisa Analytics,Sam Done,,,,,,,12/11/19,Analytics,Approved,Unknown,,,Request 1021610,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,12/11/19,12/11/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LivePerson,Sam Done,,,,,,,8/6/19,"A publicly held American technology company that develops products for online messaging, marketing, and analytics.",Approved,No,,,"- TS (T-support, Tutors)","{""type"":""thumbnail"",""fileName"":""Live Person.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LLEAP,Sam Done,,,,,,,8/15/19,Used for visualizing the lab simulations for the simulation dolls in student labs.,Approved,Unknown,,,Request 967120,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/15/19,8/15/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LLEAP ,Sam Done,,,,,,,8/15/19,"Used for visualizing the lab simulations for the simulation dolls in student labs.
",Approved,Unknown,,,"Request 967120
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Local SEO Monitor,Sam Done,,,,,,,1/9/21,,Approved,Unknown,,,,,,,,,,Sandy Dantzer,,,,Existing,SEO Monitoring and Management,IT Use,GCE,GCE,,MOZ,,Unknown,,Yes,,,,,,,,,,,,1/9/21,1/9/21,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Logger Pro 3,Sam Done,,,,,,,8/6/19,Allows further data analysis of the output information from the various Vernier devices. Used in GCU Lab Courses.,Approved,Yes,,https://www.vernier.com/,589818 - Professor The Vernier software site license is very generous and allows with the purchase of one copy to install it on every computer in your school. Installation to local machines over a network is allowed.,"{""type"":""thumbnail"",""fileName"":""Logger Pro 3.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Logitech Gaming Software,Sam Done,,,,,,,1/13/20,,Denied,No,,,"1058719
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Logitech Options,Sam Done,,,,,,,12/6/21,"Allows a single mouse to be used for multiple computers.
",Approved,Unknown,,,"106309
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Logitech Unifying,Sam Done,,,,,,,2/4/21,,Restricted Approval,Unknown,,,"Risk Acceptance Form needs to be signed - see request 1196534  
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Logitech Unifying Software,Sam Done,,,,,,,1/2/21,"Use Multiple Keyboards and Mice (2+) with a single USB Recieiver. 
",Approved,No,,,"137564 - This software was previously restricted and is now approved. 
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Logitech Webcam Software (LWS251.exe),Sam Done,,,,,,,8/6/19,"Recording software for when you don&#39;t have a laptop with a camera.
Hardware must be purchased.",Approved,No,,,694263 - UDC,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LogMeIn Last Pass,Sam Done,195868,#187149,2376,Ordered,Kim Tsutsumida (GCE),,12/30/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""LogMein Last Pass.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909",,,,,,Kim Tsutsumida,,,,Existing,Marketing,IT Use,GCE,GCE,,LogMeIn USA Inc,,Unknown,,Yes,,,,,,,,,,,,12/30/20,12/30/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Logos,Sam Done,,,,,,,10/1/20,Bible translation,Approved,No,,,Requested by theology professors,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,10/1/20,10/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Loom,Sam Done,,,,,,,8/6/19,Desktop App and Browser Extension,Approved,Yes,,https://www.useloom.com/,1183286 - Desktop App approved 600785 - Faculty & Teachers Chrome Extension,"{""type"":""thumbnail"",""fileName"":""Loom.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-417",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Lope Shops,Sam Done,,,,,,,10/23/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Lopes Shops.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c",,,,,,Nicolas Bradley,,,,Existing,Digital Catalogs for Ecommerce,Open Use,GCU,GCU,,Joomag Inc,,Unknown,,Yes,,,,,,,,,,,,10/23/20,10/23/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Lopenet,Sam Done,,,,,,,2/9/20,Lopenet is the intranet for GCU and GCE Employees,Approved,Unknown,,,,,,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Lopes Learning Center,Sam Done,,,,,,,2/10/20,Employees must complete specific job knowledge training and HR mandatory courses,Approved,Unknown,,,,,,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LoudBook File,Sam Done,,,,,,,8/6/19,Creates Loudbooks.,Approved,No,,,"501782 - LCS, etc. LCS/Loudbook creation",,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LoudCloud,Sam Done,,,,,,,2/3/20,,Approved,Unknown,,,,,,,,,,Vanessa Sanchez,,,,Existing,LMS,Open Use,GCE,GCE;#GCU,,"BNED LoudCloud, LLC",,Unknown,,Yes,,,,,,,,,,,,2/3/20,2/3/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LoudCloud,Sam Done,,,,,,,2/11/20,LMS,Approved,Unknown,,,,,,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
LPKF CircuitPro PM 2.3,Sam Done,,,,,,,6/11/21,"This software is used to run the ProtoMat machine in Labs and is currently only being used on an offline Campus Computer within the lab. There are newer versions of the software available, but 2.3 is the version that was supplied on the CD and newer versions require a purchase.
",Approved,Unknown,,,"Request 10129 
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
MacroCreator,Sam Done,,,,,,,8/6/19,"Creates repeated mouse clicks tasks.
",Denied,No,,http://www.macrocreator.com/download/,"649641 -  
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Maintenance Tool Software,Sam Done,,,,,,,2/28/22,"Mitsubishi Training Course
",Approved,Unknown,,,"152474
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Make Free,Sam Done,,,,,,,3/12/16,Convert and send film to other schools.,Approved,Unknown,,,Request 458945,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,3/12/16,3/12/16,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
MakeMusic,Sam Done,206823,#197514,1800,Ordered,,,9/8/20,,Approved,Unknown,,,,,,,,,,Vanessa Jones,,,,Existing,Music Theory Software,Open Use,GCU,GCU,,MakeMusic,,Unknown,,Yes,,,,,,,,,,,,9/8/20,9/8/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
MakerBot,Sam Done,,,,,,,8/6/19,3D Printing Software.,Approved,No,,https://support.makerbot.com/troubleshooting/makerbot-desktop-software/software-download/download_12190,,"{""type"":""thumbnail"",""fileName"":""MakerBot.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Malwarebytes,Sam Done,,,,,,,8/6/19,"Anti-malware and security program.
",Denied,Unknown,,,,,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Map Business Online,Sam Done,,,,,,,1/19/21,"View maps created for marketing purpose (research, analysis, etc.)",Approved,Unknown,,,Request 1261744,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,1/19/21,1/19/21,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Marching Order,Sam Done,193740,#184865,3023.5,Ordered,,Tira Montgomery,11/2/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Marching Order.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e96",,,,,,Tira Montgomery,,,,Existing,Graduation Software,Open Use,GCU,GCU,,Development Cubed Software,,Unknown,,Yes,,,,,,,,,,,,11/2/20,11/2/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Mathplayer,Sam Done,,,,,,,1/23/19,This is for the nvda screenreader.,Approved,Unknown,,,Request 855761,"{""type"":""thumbnail"",""fileName"":""Mathworks.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c93",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,1/23/19,1/23/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Mathworks,Sam Done,186062,#178571,50292.89,Ordered,Nicole Wallace (GCE),,5/15/20,,Approved,Unknown,,,,,,,,,,Nicole Schuler,,,,Existing,Educational Services,Open Use,GCU,GCU,,The Mathworks Inc,,Unknown,,Yes,,,,,,,,,,,,5/15/20,5/15/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
MatLab,Sam Done,,,0,,,,3/31/17,Math Simulations,Approved,Unknown,,,Request 614436,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,3/31/17,3/31/17,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Maven,Sam Done,,,,,,,11/24/21,"This software is used for automated testing of marketing websites.
",Approved,Unknown,,,"99351
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
MAXQDA,Sam Done,,,,,,,8/6/19,Qualitative data analysis software.,Approved,Yes,,http://www.maxqda.com/,663049 - Deans/Admin Assistants/Staticians Craig Davidson and Mike Lacrosse to get an enterprise license with the University.,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
MaxQDA,Sam Done,,,,,,,4/27/18,Adjuncts required to managed via the DC Network for Doctor Students,Approved,Unknown,,,Request 770549,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,4/27/18,4/27/18,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
MAXQDA 2019 Standard,Sam Done,173175,#168007,16000,Ordered,,Jeri Burns,10/22/19,,Approved,Unknown,,,,,,,,,,Jeri Burns,,,,Existing,Educational Services,Open Use,GCU,GCU,,VERBI Software GmbH,,Unknown,,Yes,,,,,,,,,,,,10/22/19,10/22/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
MaxQDA 2020 Standard,Sam Done,185395,#179870,16000,Ordered,,Jeri Burns,6/22/20,,Approved,Unknown,,,,,,,,,,Jeri Burns,,,,Existing,E-Learning Services,Open Use,GCU,GCU,,VERBI Software GmbH,,Unknown,,Yes,,,,,,,,,,,,6/22/20,6/22/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Maya,Sam Done,181407,#174476,7315.64,Ordered,Roger Morgan (Orbis),,2/4/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Maya.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-417",,,,,,Roger Morgan,,,,Existing,3D Software,Open Use,Orbis,Orbis,,Autodesk,,Unknown,,Yes,,,,,,,,,,,,2/4/20,2/4/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Maya,Sam Done,,,,,,,1/15/21,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Maya.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-417",,,,,,Roger Morgan,,,,Existing,Learning Objects 3D Modeling,Open Use,Orbis,Orbis,,Autodesk,,Unknown,,Yes,,,,,,,,,,,,1/15/21,1/15/21,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Maya LT,Sam Done,,,,,,,3/9/22,"Maya LT is a 3D modeling package by Autodesk.
",Approved,Unknown,,,"157815
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
